id,fasta,taxonomy
Choren,/users/asebe/xgraubove/genomes/data/Choren_long.pep.fasta,Porifera
Chrper,/users/asebe/xgraubove/genomes/data/Chrper_long.pep.fasta,Teretosporea
Cint,/users/asebe/xgraubove/genomes/data/Cint_long.pep.fasta,Deuterostomia
Clacla,/users/asebe/xgraubove/genomes/data/Clacla_long.pep.fasta,Porifera
Clacor,/users/asebe/xgraubove/genomes/data/Clacor_long.pep.fasta,Porifera
Clim,/users/asebe/xgraubove/genomes/data/Clim_long.pep.fasta,Teretosporea
Coeast,/users/asebe/xgraubove/genomes/data/Coeast_long.pep.fasta,Ctenophora
Coemet,/users/asebe/xgraubove/genomes/data/Coemet_long.pep.fasta,Ctenophora
Cowc,/users/asebe/xgraubove/genomes/data/Cowc_long.pep.fasta,Filasterea
Cscu,/users/asebe/xgraubove/genomes/data/Cscu_long.pep.fasta,Protostomia
Ctel,/users/asebe/xgraubove/genomes/data/Ctel_long.pep.fasta,Protostomia
Culqui,/users/asebe/xgraubove/genomes/data/Culqui_long.pep.fasta,Protostomia
Dgig,/users/asebe/xgraubove/genomes/data/Dgig_long.pep.fasta,Cnidaria
Dimgyr,/users/asebe/xgraubove/genomes/data/Dimgyr_long.pep.fasta,Protostomia
Dmel,/users/asebe/xgraubove/genomes/data/Dmel_long.pep.fasta,Protostomia
Dpul,/users/asebe/xgraubove/genomes/data/Dpul_long.pep.fasta,Protostomia
Drer,/users/asebe/xgraubove/genomes/data/Drer_long.pep.fasta,Deuterostomia
Drygla,/users/asebe/xgraubove/genomes/data/Drygla_long.pep.fasta,Ctenophora
Dugjap,/users/asebe/xgraubove/genomes/data/Dugjap_long.pep.fasta,Protostomia
Elychl,/users/asebe/xgraubove/genomes/data/Elychl_long.pep.fasta,Protostomia
Emue,/users/asebe/xgraubove/genomes/data/Emue_long.pep.fasta,Porifera
Emul,/users/asebe/xgraubove/genomes/data/Emul_long.pep.fasta,Protostomia
Euncar,/users/asebe/xgraubove/genomes/data/Euncar_long.pep.fasta,Porifera
Eupdun,/users/asebe/xgraubove/genomes/data/Eupdun_long.pep.fasta,Ctenophora
Eupsco,/users/asebe/xgraubove/genomes/data/Eupsco_long.pep.fasta,Protostomia
Exapal,/users/asebe/xgraubove/genomes/data/Exapal_long.pep.fasta,Cnidaria
Folcan,/users/asebe/xgraubove/genomes/data/Folcan_long.pep.fasta,Protostomia
Fspp,/users/asebe/xgraubove/genomes/data/Fspp_long.pep.fasta,Cnidaria
Galgal,/users/asebe/xgraubove/genomes/data/Galgal_long.pep.fasta,Deuterostomia
Gasp,/users/asebe/xgraubove/genomes/data/Gasp_long.pep.fasta,Cnidaria
Gfas,/users/asebe/xgraubove/genomes/data/Gfas_long.pep.fasta,Cnidaria
Glomor,/users/asebe/xgraubove/genomes/data/Glomor_long.pep.fasta,Protostomia
Gracom,/users/asebe/xgraubove/genomes/data/Gracom_long.pep.fasta,Porifera
Halamb,/users/asebe/xgraubove/genomes/data/Halamb_long.pep.fasta,Porifera
Halaur,/users/asebe/xgraubove/genomes/data/Halaur_long.pep.fasta,Deuterostomia
Hduj,/users/asebe/xgraubove/genomes/data/Hduj_long.pep.fasta,Protostomia
Helrob,/users/asebe/xgraubove/genomes/data/Helrob_long.pep.fasta,Protostomia
Hhon,/users/asebe/xgraubove/genomes/data/Hhon_long.pep.fasta,Placozoa
HoiH04,/users/asebe/xgraubove/genomes/data/HoiH04_long.pep.fasta,Placozoa
HoiH06,/users/asebe/xgraubove/genomes/data/HoiH06_long.pep.fasta,Placozoa
HoiH11,/users/asebe/xgraubove/genomes/data/HoiH11_long.pep.fasta,Placozoa
HoiH23,/users/asebe/xgraubove/genomes/data/HoiH23_long.pep.fasta,Placozoa
Horcal,/users/asebe/xgraubove/genomes/data/Horcal_long.pep.fasta,Ctenophora
Hsap,/users/asebe/xgraubove/genomes/data/Hsap_long.pep.fasta,Deuterostomia
Hvul,/users/asebe/xgraubove/genomes/data/Hvul_long.pep.fasta,Cnidaria
Ixosca,/users/asebe/xgraubove/genomes/data/Ixosca_long.pep.fasta,Protostomia
Lampan,/users/asebe/xgraubove/genomes/data/Lampan_long.pep.fasta,Ctenophora
Latcha,/users/asebe/xgraubove/genomes/data/Latcha_long.pep.fasta,Deuterostomia
Lepocu,/users/asebe/xgraubove/genomes/data/Lepocu_long.pep.fasta,Deuterostomia
Lepsal,/users/asebe/xgraubove/genomes/data/Lepsal_long.pep.fasta,Protostomia
Leuniv,/users/asebe/xgraubove/genomes/data/Leuniv_long.pep.fasta,Porifera
Lgig,/users/asebe/xgraubove/genomes/data/Lgig_long.pep.fasta,Protostomia
Linana,/users/asebe/xgraubove/genomes/data/Linana_long.pep.fasta,Protostomia
Linlon,/users/asebe/xgraubove/genomes/data/Linlon_long.pep.fasta,Protostomia
Lpol,/users/asebe/xgraubove/genomes/data/Lpol_long.pep.fasta,Protostomia
Luccup,/users/asebe/xgraubove/genomes/data/Luccup_long.pep.fasta,Protostomia
Lutlon,/users/asebe/xgraubove/genomes/data/Lutlon_long.pep.fasta,Protostomia
Maclig,/users/asebe/xgraubove/genomes/data/Maclig_long.pep.fasta,Protostomia
Mbre,/users/asebe/xgraubove/genomes/data/Mbre_long.pep.fasta,Choanoflagellata
Mertsp,/users/asebe/xgraubove/genomes/data/Mertsp_long.pep.fasta,Ctenophora
Mlei,/users/asebe/xgraubove/genomes/data/Mlei_long.pep.fasta,Ctenophora
Mmus,/users/asebe/xgraubove/genomes/data/Mmus_long.pep.fasta,Deuterostomia
Mondom,/users/asebe/xgraubove/genomes/data/Mondom_long.pep.fasta,Deuterostomia
Morvir,/users/asebe/xgraubove/genomes/data/Morvir_long.pep.fasta,Cnidaria
Musdom,/users/asebe/xgraubove/genomes/data/Musdom_long.pep.fasta,Protostomia
Mvib,/users/asebe/xgraubove/genomes/data/Mvib_long.pep.fasta,Filasterea
Nasvit,/users/asebe/xgraubove/genomes/data/Nasvit_long.pep.fasta,Protostomia
Naupom,/users/asebe/xgraubove/genomes/data/Naupom_long.pep.fasta,Protostomia
Nemnom,/users/asebe/xgraubove/genomes/data/Nemnom_long.pep.fasta,Cnidaria
Notgen,/users/asebe/xgraubove/genomes/data/Notgen_long.pep.fasta,Protostomia
Nvec,/users/asebe/xgraubove/genomes/data/Nvec_long.pep.fasta,Cnidaria
Ocar,/users/asebe/xgraubove/genomes/data/Ocar_long.pep.fasta,Porifera
Octbim,/users/asebe/xgraubove/genomes/data/Octbim_long.pep.fasta,Protostomia
Octsin,/users/asebe/xgraubove/genomes/data/Octsin_long.pep.fasta,Protostomia
Oikdio,/users/asebe/xgraubove/genomes/data/Oikdio_long.pep.fasta,Deuterostomia
Orccin,/users/asebe/xgraubove/genomes/data/Orccin_long.pep.fasta,Protostomia
Ornana,/users/asebe/xgraubove/genomes/data/Ornana_long.pep.fasta,Deuterostomia
Osclob,/users/asebe/xgraubove/genomes/data/Osclob_long.pep.fasta,Porifera
Owefus,/users/asebe/xgraubove/genomes/data/Owefus_long.pep.fasta,Protostomia
Pecmax,/users/asebe/xgraubove/genomes/data/Pecmax_long.pep.fasta,Protostomia
Penmon,/users/asebe/xgraubove/genomes/data/Penmon_long.pep.fasta,Protostomia
Petfic,/users/asebe/xgraubove/genomes/data/Petfic_long.pep.fasta,Porifera
Phlpap,/users/asebe/xgraubove/genomes/data/Phlpap_long.pep.fasta,Protostomia
Phoaus,/users/asebe/xgraubove/genomes/data/Phoaus_long.pep.fasta,Protostomia
Plajan,/users/asebe/xgraubove/genomes/data/Plajan_long.pep.fasta,Porifera
Plebac,/users/asebe/xgraubove/genomes/data/Plebac_long.pep.fasta,Ctenophora
Plespi,/users/asebe/xgraubove/genomes/data/Plespi_long.pep.fasta,Porifera
Pocdam,/users/asebe/xgraubove/genomes/data/Pocdam_long.pep.fasta,Cnidaria
Polpol,/users/asebe/xgraubove/genomes/data/Polpol_long.pep.fasta,Protostomia
Pomcan,/users/asebe/xgraubove/genomes/data/Pomcan_long.pep.fasta,Protostomia
Pricau,/users/asebe/xgraubove/genomes/data/Pricau_long.pep.fasta,Protostomia
Ptyfla,/users/asebe/xgraubove/genomes/data/Ptyfla_long.pep.fasta,Deuterostomia
Ramvar,/users/asebe/xgraubove/genomes/data/Ramvar_long.pep.fasta,Protostomia
Rhoesc,/users/asebe/xgraubove/genomes/data/Rhoesc_long.pep.fasta,Cnidaria
Rhopro,/users/asebe/xgraubove/genomes/data/Rhopro_long.pep.fasta,Protostomia
Romcul,/users/asebe/xgraubove/genomes/data/Romcul_long.pep.fasta,Protostomia
Sanmal,/users/asebe/xgraubove/genomes/data/Sanmal_long.pep.fasta,Cnidaria
Scil,/users/asebe/xgraubove/genomes/data/Scil_long.pep.fasta,Porifera
Skow,/users/asebe/xgraubove/genomes/data/Skow_long.pep.fasta,Deuterostomia
Sman,/users/asebe/xgraubove/genomes/data/Sman_long.pep.fasta,Protostomia
Smed,/users/asebe/xgraubove/genomes/data/Smed2_long.pep.fasta,Protostomia
Spis,/users/asebe/xgraubove/genomes/data/Spis_long.pep.fasta,Cnidaria
Spolac,/users/asebe/xgraubove/genomes/data/Spolac_long.pep.fasta,Porifera
Spur,/users/asebe/xgraubove/genomes/data/Spur_long.pep.fasta,Deuterostomia
Sros,/users/asebe/xgraubove/genomes/data/Sros_long.pep.fasta,Choanoflagellata
Stemim,/users/asebe/xgraubove/genomes/data/Stemim_long.pep.fasta,Protostomia
Strmar,/users/asebe/xgraubove/genomes/data/Strmar_long.pep.fasta,Protostomia
Stycar,/users/asebe/xgraubove/genomes/data/Stycar_long.pep.fasta,Porifera
Tadh,/users/asebe/xgraubove/genomes/data/Tadh_v2_long.pep.fasta,Placozoa
Taegut,/users/asebe/xgraubove/genomes/data/Taegut_long.pep.fasta,Deuterostomia
Tcas,/users/asebe/xgraubove/genomes/data/Tcas_long.pep.fasta,Protostomia
Tetwil,/users/asebe/xgraubove/genomes/data/Tetwil_long.pep.fasta,Porifera
TrH2,/users/asebe/xgraubove/genomes/data/TrH2_long.pep.fasta,Placozoa
Trispi,/users/asebe/xgraubove/genomes/data/Trispi_long.pep.fasta,Protostomia
Vmul,/users/asebe/xgraubove/genomes/data/Vmul_long.pep.fasta,Ctenophora
Xenlae,/users/asebe/xgraubove/genomes/data/Xenlae_long.pep.fasta,Deuterostomia
Xentro,/users/asebe/xgraubove/genomes/data/Xentro_long.pep.fasta,Deuterostomia
Xesp,/users/asebe/xgraubove/genomes/data/Xesp_long.pep.fasta,Cnidaria
Xestes,/users/asebe/xgraubove/genomes/data/Xestes_long.pep.fasta,Porifera
Zoonev,/users/asebe/xgraubove/genomes/data/Zoonev_long.pep.fasta,Protostomia
